H,Horario,Lunes,Martes,Miércoles,Jueves,Viernes
1,8:15 - 9:00,,Cálculo I,Química General I,Cálculo I,Química General I
2,9:15 - 10:00,,Cálculo I,Química General I,Cálculo I,Química General I
3,10:15 - 11:00,Intro. Ing Informática,Álgebra I,Física I,Álgebra I,
4,11:15 - 12:00,Intro. Ing Informática,Álgebra I,Física I,Álgebra I,
5,12:15 - 13:00,,,CADE Química General I,,Física I
6,13:15 - 14:00,,CADE Álgebra I,CADE Química General I,,
7,14:15 - 15:00,,CADE Álgebra I,,,
8,15:15 - 16:00,,Álgebra I Lab,Cálculo I Lab,,Química General I Lab
9,16:15 - 17:00,,Álgebra I Lab,Cálculo I Lab,,Química General I Lab
10,17:15 - 18:00,,,,,
11,18:15 - 19:00,,,,,
